EntrezGeneSymbol;Target;TargetFullName;SomaId
C4A C4B;C4b;Complement C4b;SL000318
F11;Coagulation Factor XI;Coagulation Factor XI;SL002662
CCL27;CTACK;C-C motif chemokine 27;SL003168
COL18A1;Endostatin;Endostatin;SL000403
TIMP1;TIMP-1;Metalloproteinase inhibitor 1;SL000591
PLAT;tPA;Tissue-type plasminogen activator;SL000053
PROK1;EG-VEGF;Prokineticin-1;SL004332
TIMP2;TIMP-2;Metalloproteinase inhibitor 2;SL000592
TGFB1;TGF-b1;Transforming growth factor beta-1;SL000584
FLT4;VEGF sR3;Vascular endothelial growth factor receptor 3;SL003322
C5;C5;Complement C5;SL000319
APOE;Apo E;Apolipoprotein E;SL000276
BDNF;BDNF;Brain-derived neurotrophic factor;SL003951
FGFR1;bFGF-R;Fibroblast growth factor receptor 1;SL003060
C8A C8B C8G;C8;Complement component C8;SL000324
CTSG;Cathepsin G;Cathepsin G;SL000345
CXCL16;CXCL16, soluble;C-X-C motif chemokine 16;SL004016
FGF10;FGF-10;Fibroblast growth factor 10;SL004333
FGF8;FGF-8B;Fibroblast growth factor 8 isoform B;SL004342
PLA2G2E;GIIE;Group IIE secretory phospholipase A2;SL004066
PLA2G5;GV;Calcium-dependent phospholipase A2;SL004182
IL12A IL12B;IL-12;Interleukin-12;SL001716
CCL20;MIP-3a;C-C motif chemokine 20;SL000133
APCS;SAP;Serum amyloid P-component;SL000573
KIT;SCF sR;Mast/stem cell growth factor receptor Kit;SL004010
TIMP3;TIMP-3;Metalloproteinase inhibitor 3;SL003043
TNFSF12;TWEAK;Tumor necrosis factor ligand superfamily member 12;SL004365
ANGPT4;Angiopoietin-4;Angiopoietin-4;SL004643
CDH1;Cadherin E;Cadherin-1;SL000055
GFRA3;GFRa-3;GDNF family receptor alpha-3;SL004144
EFNB3;Ephrin-B3;Ephrin-B3;SL004142
GFRA2;GFRa-2;GDNF family receptor alpha-2;SL004143
CCL21;6Ckine;C-C motif chemokine 21;SL003193
CCL5;RANTES;C-C motif chemokine 5;SL000563
HMGB1;HMG-1;High mobility group protein B1;SL003280
TNFRSF11B;OPG;Tumor necrosis factor receptor superfamily member 11B;SL002539
POMC;b-Endorphin;Beta-endorphin;SL000300
CFI;Factor I;Complement factor I;SL003328
IGFBP2;IGFBP-2;Insulin-like growth factor-binding protein 2;SL000466
IGFBP3;IGFBP-3;Insulin-like growth factor-binding protein 3;SL000045
LEP;Leptin;Leptin;SL000498
CCL2;MCP-1;C-C motif chemokine 2;SL000038
MMP9;MMP-9;Matrix metalloproteinase-9;SL000527
MPO;Myeloperoxidase;Myeloperoxidase;SL001796
PRL;PRL;Prolactin;SL000546
ROR1;ROR1;Tyrosine-protein kinase transmembrane receptor ROR1;SL006114
VEGFA;VEGF;Vascular endothelial growth factor A;SL000002
TNFRSF9;4-1BB;Tumor necrosis factor receptor superfamily member 9;SL004126
TNFSF9;4-1BB ligand;Tumor necrosis factor ligand superfamily member 9;SL003735
ANGPT2;Angiopoietin-2;Angiopoietin-2;SL001996
CD80;B7;T-lymphocyte activation antigen CD80;SL003738
TNFRSF8;CD30;Tumor necrosis factor receptor superfamily member 8;SL004180
CRLF1 CLCF1;CLF-1/CLC Complex;Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex;SL004692
CST3;Cystatin C;Cystatin-C;SL001777
TYRO3;Dtk;Tyrosine-protein kinase receptor TYRO3;SL004136
EIF5;eIF-5;Eukaryotic translation initiation factor 5;SL004759
EFNA4;Ephrin-A4;Ephrin-A4;SL004140
EFNA5;Ephrin-A5;Ephrin-A5;SL004141
ERBB2;ERBB2;Receptor tyrosine-protein kinase erbB-2;SL000009
ERBB3;ERBB3;Receptor tyrosine-protein kinase erbB-3;SL002519
ERBB4;ERBB4;Receptor tyrosine-protein kinase erbB-4;SL003803
TACSTD2;GA733-1 protein;Tumor-associated calcium signal transducer 2;SL001890
IL6ST;gp130, soluble;Interleukin-6 receptor subunit beta;SL003872
HMOX2;HO-2;Heme oxygenase 2;SL004751
Human-virus;HPV E7 Type 16;Protein E7_HPV16;SL004697
Human-virus;HPV E7 Type18;Protein E7_HPV18;SL004698
HSP90AA1 HSP90AB1;HSP 90a/b;Heat shock protein HSP 90-alpha/beta;SL017612
IL1RAP;IL-1 R AcP;Interleukin-1 Receptor accessory protein;SL004588
IL10RB;IL-10 Rb;Interleukin-10 receptor subunit beta;SL004147
IL12RB1;IL-12 Rb1;Interleukin-12 receptor subunit beta-1;SL004148
IL13RA1;IL-13 Ra1;Interleukin-13 receptor subunit alpha-1;SL004149
IL2RG;IL-2 sRg;Cytokine receptor common subunit gamma;SL003307
LAYN;Layilin;Layilin;SL004646
LTBR;Lymphotoxin b R;Tumor necrosis factor receptor superfamily member 3;SL000509
MRC1;Macrophage mannose receptor;Macrophage mannose receptor 1;SL004579
CSF1R;M-CSF R;Macrophage colony-stimulating factor 1 receptor;SL004153
MST1R;MSP R;Macrophage-stimulating protein receptor;SL004637
PAFAH1B2;PAFAH beta subunit;Platelet-activating factor acetylhydrolase IB subunit beta;SL004760
CDH3;P-Cadherin;Cadherin-3;SL004183
PRKCA;PKC-A;Protein kinase C alpha type;SL000551
PRKCZ;PKC-Z;Protein kinase C zeta type;SL000557
GDI2;Rab GDP dissociation inhibitor beta;Rab GDP dissociation inhibitor beta;SL003648
ICAM3;sICAM-3;Intercellular adhesion molecule 3;SL003178
PLAUR;suPAR;Urokinase plasminogen activator surface receptor;SL002506
MAPT;tau;Microtubule-associated protein tau;SL004230
TNFRSF1A;TNF sR-I;Tumor necrosis factor receptor superfamily member 1A;SL001992
NTRK3;TrkC;NT-3 growth factor receptor;SL004639
TNFRSF17;BCMA;Tumor necrosis factor receptor superfamily member 17;SL004672
DCN;Bone proteoglycan II;Decorin;SL004081
CAPN1 CAPNS1;Calpain I;Calpain I;SL000337
CKM;CK-MM;Creatine kinase M-type;SL000383
TDGF1;Cripto;Teratocarcinoma-derived growth factor 1;SL005155
EGFR;ERBB1;Epidermal growth factor receptor;SL002644
HGF;HGF;Hepatocyte growth factor;SL000441
HSPD1;HSP 60;60 kDa heat shock protein, mitochondrial;SL000450
C3;iC3b;Complement C3b, inactivated;SL000456
IGFBP5;IGFBP-5;Insulin-like growth factor-binding protein 5;SL004676
IGFBP6;IGFBP-6;Insulin-like growth factor-binding protein 6;SL005172
